point_id,corner_label,temp_c,vdd_v,amp_v_peak_per_tone,src_tone_v_peak_measured,pin_avail_dbm_per_tone,pout_dbm_per_tone,pim3_dbm,gain_db,iip3_dbm,oip3_dbm,iip3_dbm_dft_crosscheck,v_tone1_out_v,v_tone2_out_v,v_im3l_out_v,v_im3h_out_v,v_im5_out_v,im3_over_im5_db,ic1_a,idd_a,fft_npts,fft_df_hz
iip3_sf_125c_vdd1.62v_a1mv,sf,125,1.62,1.000000e-03,9.996210e-04,-56.0206,-45.2891,-155.3373,10.7315,-0.9965,9.7350,-0.9959,1.720760e-03,1.719360e-03,5.548920e-09,5.269480e-09,5.566835e-11,39.75,3.822710e-03,4.598150e-03,65536,3.814700e+06
iip3_sf_125c_vdd1.62v_a2mv,sf,125,1.62,2.000000e-03,1.999240e-03,-50.0000,-39.2688,-137.3198,10.7312,-0.9745,9.7567,-0.9743,3.441410e-03,3.438620e-03,4.429410e-08,4.181320e-08,1.129673e-10,51.62,3.822710e-03,4.598150e-03,65536,3.814700e+06
iip3_sf_125c_vdd1.80v_a1mv,sf,125,1.80,1.000000e-03,9.996210e-04,-56.0206,-45.2450,-155.8618,10.7756,-0.7122,10.0634,-0.7115,1.729530e-03,1.728100e-03,5.219130e-09,4.965370e-09,5.364990e-11,39.55,3.898440e-03,4.690380e-03,65536,3.814700e+06
iip3_sf_125c_vdd1.80v_a2mv,sf,125,1.80,2.000000e-03,1.999240e-03,-50.0000,-39.2247,-137.8389,10.7753,-0.6929,10.0825,-0.6927,3.458970e-03,3.456110e-03,4.162450e-08,3.948760e-08,1.122375e-10,51.16,3.898440e-03,4.690380e-03,65536,3.814700e+06
iip3_sf_125c_vdd1.98v_a1mv,sf,125,1.98,1.000000e-03,9.996210e-04,-56.0206,-45.2024,-156.3825,10.8182,-0.4306,10.3877,-0.4298,1.738060e-03,1.736590e-03,4.894440e-09,4.697500e-09,5.548925e-11,38.73,3.976670e-03,4.784820e-03,65536,3.814700e+06
iip3_sf_125c_vdd1.98v_a2mv,sf,125,1.98,2.000000e-03,1.999240e-03,-50.0000,-39.1820,-138.3842,10.8180,-0.3989,10.4191,-0.3987,3.476030e-03,3.473100e-03,3.894870e-08,3.722760e-08,1.135642e-10,50.51,3.976670e-03,4.784820e-03,65536,3.814700e+06
iip3_sf_27c_vdd1.62v_a1mv,sf,27,1.62,1.000000e-03,9.996210e-04,-56.0206,-44.5613,-153.1155,11.4593,-1.7435,9.7158,-1.7424,1.871430e-03,1.869380e-03,7.037980e-09,6.933960e-09,5.806040e-11,41.61,3.851510e-03,4.608050e-03,65536,3.814700e+06
iip3_sf_27c_vdd1.62v_a2mv,sf,27,1.62,2.000000e-03,1.999240e-03,-50.0000,-38.5410,-135.0844,11.4590,-1.7283,9.7308,-1.7280,3.742740e-03,3.738650e-03,5.606690e-08,5.531380e-08,1.121406e-10,53.92,3.851510e-03,4.608050e-03,65536,3.814700e+06
iip3_sf_27c_vdd1.80v_a1mv,sf,27,1.80,1.000000e-03,9.996210e-04,-56.0206,-44.5253,-153.6934,11.4953,-1.4366,10.0587,-1.4353,1.879200e-03,1.877120e-03,6.580920e-09,6.491570e-09,6.447465e-11,40.12,3.939640e-03,4.712190e-03,65536,3.814700e+06
iip3_sf_27c_vdd1.80v_a2mv,sf,27,1.80,2.000000e-03,1.999240e-03,-50.0000,-38.5050,-135.6669,11.4950,-1.4190,10.0760,-1.4187,3.758290e-03,3.754130e-03,5.233310e-08,5.182280e-08,1.157080e-10,53.07,3.939640e-03,4.712190e-03,65536,3.814700e+06
iip3_sf_27c_vdd1.98v_a1mv,sf,27,1.98,1.000000e-03,9.996210e-04,-56.0206,-44.4899,-154.3410,11.5307,-1.0951,10.4356,-1.0937,1.886890e-03,1.884770e-03,6.099250e-09,6.034040e-09,5.673560e-11,40.58,4.032540e-03,4.818630e-03,65536,3.814700e+06
iip3_sf_27c_vdd1.98v_a2mv,sf,27,1.98,2.000000e-03,1.999240e-03,-50.0000,-38.4696,-136.2779,11.5304,-1.0959,10.4346,-1.0955,3.773680e-03,3.769440e-03,4.866000e-08,4.842160e-08,1.239815e-10,51.86,4.032540e-03,4.818630e-03,65536,3.814700e+06
iip3_typ_-40c_vdd1.62v_a1mv,typ,-40,1.62,1.000000e-03,9.996210e-04,-56.0206,-44.1307,-152.0105,11.8899,-2.0807,9.8092,-2.0793,1.966710e-03,1.964200e-03,7.954690e-09,7.912650e-09,5.802945e-11,42.72,3.869960e-03,4.614440e-03,65536,3.814700e+06
iip3_typ_-40c_vdd1.62v_a2mv,typ,-40,1.62,2.000000e-03,1.999240e-03,-50.0000,-38.1104,-133.9478,11.8896,-2.0813,9.8083,-2.0810,3.933310e-03,3.928290e-03,6.359980e-08,6.335290e-08,1.121185e-10,55.06,3.869960e-03,4.614440e-03,65536,3.814700e+06
