point_id,corner_label,hbt_section,temp_c,nx,vce_v,vbe_v,ic_a,jc_ma_um2,ft_hz,gain_db,nf_db,validity_flags
nx1_typ_27c_vce0.6v,typ,hbt_typ,27,1,0.6,0.73,1.134240e-05,0.098458,1.53073E+10,-27.485300,33.560200,
nx1_typ_27c_vce0.6v,typ,hbt_typ,27,1,0.6,0.75,2.378800e-05,0.206493,3.09011E+10,-21.226000,27.374900,
nx1_typ_27c_vce0.6v,typ,hbt_typ,27,1,0.6,0.77,4.911020e-05,0.426304,5.96711E+10,-15.243200,21.578000,
nx1_typ_27c_vce0.6v,typ,hbt_typ,27,1,0.6,0.79,9.844020e-05,0.854516,1.07067E+11,-9.772010,16.551700,
nx1_typ_27c_vce0.6v,typ,hbt_typ,27,1,0.6,0.81,1.878410e-04,1.630564,1.71759E+11,-5.090980,12.743300,
nx1_typ_27c_vce0.6v,typ,hbt_typ,27,1,0.6,0.83,3.343610e-04,2.902439,2.41179E+11,-1.396450,10.295200,
nx1_typ_27c_vce0.6v,typ,hbt_typ,27,1,0.6,0.85,5.488930e-04,4.764696,3.00272E+11,1.323660,8.880250,
nx1_typ_27c_vce0.6v,typ,hbt_typ,27,1,0.6,0.87,8.325020e-04,7.226580,3.43112E+11,3.257260,8.060100,
nx1_typ_27c_vce0.6v,typ,hbt_typ,27,1,0.6,0.89,1.179110e-03,10.235330,3.69141E+11,4.632960,7.548260,
nx1_typ_27c_vce0.6v,typ,hbt_typ,27,1,0.6,0.91,1.580100e-03,13.716146,3.81814E+11,5.634090,7.200290,
nx1_typ_27c_vce0.6v,typ,hbt_typ,27,1,0.6,0.93,2.027140e-03,17.596701,3.83969E+11,6.384670,6.947280,
nx1_typ_27c_vce0.6v,typ,hbt_typ,27,1,0.6,0.95,2.513080e-03,21.814931,3.76965E+11,6.959360,6.755830,
nx1_typ_27c_vce0.6v,typ,hbt_typ,27,1,0.6,0.97,3.030870e-03,26.309635,3.51783E+11,7.334360,6.620670,ic_high;vbe_high
nx1_typ_27c_vce0.6v,typ,hbt_typ,27,1,0.6,0.99,3.557080e-03,30.877431,2.15043E+11,6.725390,6.681210,ic_high;vbe_high
nx1_typ_27c_vce0.6v,typ,hbt_typ,27,1,0.6,1.01,4.010970e-03,34.817448,7.43324E+10,4.305420,7.202310,ic_high;vbe_high
nx1_typ_27c_vce0.6v,typ,hbt_typ,27,1,0.6,1.03,4.388220e-03,38.092187,3.62516E+10,2.981220,7.548330,ic_high;vbe_high
nx1_typ_27c_vce0.6v,typ,hbt_typ,27,1,0.6,1.05,4.750060e-03,41.233160,2.28065E+10,2.720390,7.587630,ic_high;vbe_high
nx1_typ_27c_vce0.8v,typ,hbt_typ,27,1,0.8,0.55,1.280650e-08,0.000111,1.90064E+07,-51.290400,57.311000,vbe_low
nx1_typ_27c_vce0.8v,typ,hbt_typ,27,1,0.8,0.57,2.726490e-08,0.000237,4.01916E+07,-51.267200,57.287800,vbe_low
nx1_typ_27c_vce0.8v,typ,hbt_typ,27,1,0.8,0.59,5.804580e-08,0.000504,8.52621E+07,-51.225800,57.246600,vbe_low
nx1_typ_27c_vce0.8v,typ,hbt_typ,27,1,0.8,0.61,1.235710e-07,0.001073,1.80191E+08,-51.107600,57.128600,vbe_low
nx1_typ_27c_vce0.8v,typ,hbt_typ,27,1,0.8,0.63,2.630440e-07,0.002283,3.81758E+08,-50.673100,56.694700,vbe_low
nx1_typ_27c_vce0.8v,typ,hbt_typ,27,1,0.8,0.65,5.598370e-07,0.004860,8.0581E+08,-49.170000,55.192900,
nx1_typ_27c_vce0.8v,typ,hbt_typ,27,1,0.8,0.67,1.191070e-06,0.010339,1.70197E+09,-45.542400,51.567900,
nx1_typ_27c_vce0.8v,typ,hbt_typ,27,1,0.8,0.69,2.532060e-06,0.021980,3.57854E+09,-40.056700,46.088200,
nx1_typ_27c_vce0.8v,typ,hbt_typ,27,1,0.8,0.71,5.373980e-06,0.046649,7.48058E+09,-33.832800,39.877500,
nx1_typ_27c_vce0.8v,typ,hbt_typ,27,1,0.8,0.73,1.136570e-05,0.098661,1.54798E+10,-27.469900,33.545000,
nx1_typ_27c_vce0.8v,typ,hbt_typ,27,1,0.8,0.75,2.386210e-05,0.207136,3.12889E+10,-21.201900,27.351300,
nx1_typ_27c_vce0.8v,typ,hbt_typ,27,1,0.8,0.77,4.935850e-05,0.428459,6.05984E+10,-15.205700,21.542500,
nx1_typ_27c_vce0.8v,typ,hbt_typ,27,1,0.8,0.79,9.925710e-05,0.861607,1.09073E+11,-9.715450,16.502600,
nx1_typ_27c_vce0.8v,typ,hbt_typ,27,1,0.8,0.81,1.902890e-04,1.651814,1.75603E+11,-5.012980,12.686600,
nx1_typ_27c_vce0.8v,typ,hbt_typ,27,1,0.8,0.83,3.406490e-04,2.957023,2.47538E+11,-1.302040,10.241900,
nx1_typ_27c_vce0.8v,typ,hbt_typ,27,1,0.8,0.85,5.624460e-04,4.882344,3.09282E+11,1.424740,8.835550,
