point_id,bench,role,corner_label,hbt_section,temp_c,nx,selft,rb_label,rb_ohm,ic_a,ic_per_nx_a,vce_v,vb_v,ie_a
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,1.33352E-05,1.333520e-05,1.60926,0.810001,1.33352E-05
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,1.77828E-05,1.778280e-05,1.61328,0.816028,1.77828E-05
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,2.37137E-05,2.371370e-05,1.61762,0.822113,2.37137E-05
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,3.16228E-05,3.162280e-05,1.62239,0.828277,3.16228E-05
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,4.21697E-05,4.216970e-05,1.62771,0.834544,4.21697E-05
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,5.62341E-05,5.623410e-05,1.63374,0.840948,5.62341E-05
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,7.49894E-05,7.498940e-05,1.64073,0.847536,7.49894E-05
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,0.0001,1.000000e-04,1.64898,0.854367,0.0001
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,0.000133352,1.333520e-04,1.65887,0.861522,0.000133352
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,0.000177828,1.778280e-04,1.67094,0.869106,0.000177828
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,0.000237137,2.371370e-04,1.68588,0.877259,0.000237137
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,0.000316228,3.162280e-04,1.70459,0.886167,0.000316228
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,0.000421697,4.216970e-04,1.72827,0.896069,0.000421697
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,0.000562341,5.623410e-04,1.75844,0.907285,0.000562341
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,0.000749894,7.498940e-04,1.7971,0.920228,0.000749894
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,0.001,1.000000e-03,1.84684,0.935441,0.001
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,0.00133352,1.333520e-03,1.91101,0.953627,0.00133352
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,0.00177828,1.778280e-03,1.99405,0.97571,0.00177828
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,0.00237137,2.371370e-03,2.10197,1.00289,0.00237137
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,0.00316228,3.162280e-03,2.24333,1.03676,0.00316228
a_nx8_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,8,1,open,1e12,8E-10,1.000000e-10,1.6341,0.56944,7.98366E-10
a_nx8_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,8,1,open,1e12,1.06682E-09,1.333525e-10,1.63071,0.575316,1.06519E-09
a_nx8_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,8,1,open,1e12,1.42262E-09,1.778275e-10,1.62565,0.581188,1.42099E-09
a_nx8_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,8,1,open,1e12,1.8971E-09,2.371375e-10,1.61953,0.587055,1.89548E-09
a_nx8_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,8,1,open,1e12,2.52982E-09,3.162275e-10,1.61284,0.592919,2.52821E-09
a_nx8_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,8,1,open,1e12,3.37357E-09,4.216962e-10,1.60596,0.59878,3.37196E-09
a_nx8_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,8,1,open,1e12,4.49873E-09,5.623413e-10,1.59918,0.60464,4.49713E-09
a_nx8_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,8,1,open,1e12,5.99915E-09,7.498938e-10,1.59271,0.610497,5.99756E-09
a_nx8_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,8,1,open,1e12,8E-09,1.000000e-09,1.58669,0.616354,7.99841E-09
a_nx8_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,8,1,open,1e12,1.06682E-08,1.333525e-09,1.58122,0.622209,1.06666E-08
a_nx8_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,8,1,open,1e12,1.42262E-08,1.778275e-09,1.57635,0.628064,1.42246E-08
a_nx8_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,8,1,open,1e12,1.8971E-08,2.371375e-09,1.57211,0.633918,1.89694E-08
a_nx8_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,8,1,open,1e12,2.52982E-08,3.162275e-09,1.56849,0.639771,2.52966E-08
a_nx8_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,8,1,open,1e12,3.37357E-08,4.216963e-09,1.56549,0.645624,3.37341E-08
a_nx8_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,8,1,open,1e12,4.49873E-08,5.623413e-09,1.56307,0.651477,4.49857E-08
a_nx8_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,8,1,open,1e12,5.99915E-08,7.498937e-09,1.56121,0.657329,5.99899E-08
